image_id,true_label,orig_pred,zone_name,zone_coords,zone_pred,changed,img_height,img_width,level,zone_area_pixels,orig_img_resolution
110,8,8,bottom_left,[14..27][0..13],8,False,28,28,1,196,28x28
110,8,8,bottom_right,[14..27][14..27],8,False,28,28,1,196,28x28
110,8,8,top_left,[0..13][0..13],8,False,28,28,1,196,28x28
110,8,8,top_right,[0..13][14..27],8,False,28,28,1,196,28x28
2998,4,4,bottom_left,[14..27][0..13],4,False,28,28,1,196,28x28
2998,4,4,bottom_right,[14..27][14..27],4,False,28,28,1,196,28x28
2998,4,4,top_left,[0..13][0..13],4,False,28,28,1,196,28x28
2998,4,4,top_right,[0..13][14..27],4,False,28,28,1,196,28x28
3545,6,6,bottom_left,[14..27][0..13],6,False,28,28,1,196,28x28
3545,6,6,bottom_right,[14..27][14..27],6,False,28,28,1,196,28x28
3545,6,6,top_left,[0..13][0..13],6,False,28,28,1,196,28x28
3545,6,6,top_right,[0..13][14..27],6,False,28,28,1,196,28x28
5351,5,5,bottom_left,[14..27][0..13],5,False,28,28,1,196,28x28
5351,5,5,bottom_right,[14..27][14..27],5,False,28,28,1,196,28x28
5351,5,5,top_left,[0..13][0..13],5,False,28,28,1,196,28x28
5351,5,5,top_right,[0..13][14..27],5,False,28,28,1,196,28x28
6918,3,3,bottom_left,[14..27][0..13],3,False,28,28,1,196,28x28
6918,3,3,bottom_right,[14..27][14..27],3,False,28,28,1,196,28x28
6918,3,3,top_left,[0..13][0..13],3,False,28,28,1,196,28x28
6918,3,3,top_right,[0..13][14..27],3,False,28,28,1,196,28x28
6937,0,0,bottom_left,[14..27][0..13],2,True,28,28,1,196,28x28
6937,0,0,bottom_right,[14..27][14..27],0,False,28,28,1,196,28x28
6937,0,0,top_left,[0..13][0..13],0,False,28,28,1,196,28x28
6937,0,0,top_right,[0..13][14..27],0,False,28,28,1,196,28x28
6937,0,0,bottom_left,[21..27][0..6],0,False,28,28,2,49,28x28
6937,0,0,bottom_right,[21..27][7..13],0,False,28,28,2,49,28x28
6937,0,0,top_left,[14..20][0..6],0,False,28,28,2,49,28x28
6937,0,0,top_right,[14..20][7..13],0,False,28,28,2,49,28x28
8376,1,1,bottom_left,[14..27][0..13],1,False,28,28,1,196,28x28
8376,1,1,bottom_right,[14..27][14..27],1,False,28,28,1,196,28x28
8376,1,1,top_left,[0..13][0..13],1,False,28,28,1,196,28x28
8376,1,1,top_right,[0..13][14..27],1,False,28,28,1,196,28x28
8718,7,7,bottom_left,[14..27][0..13],7,False,28,28,1,196,28x28
8718,7,7,bottom_right,[14..27][14..27],7,False,28,28,1,196,28x28
8718,7,7,top_left,[0..13][0..13],7,False,28,28,1,196,28x28
8718,7,7,top_right,[0..13][14..27],7,False,28,28,1,196,28x28
8762,9,9,bottom_left,[14..27][0..13],9,False,28,28,1,196,28x28
8762,9,9,bottom_right,[14..27][14..27],9,False,28,28,1,196,28x28
8762,9,9,top_left,[0..13][0..13],9,False,28,28,1,196,28x28
8762,9,9,top_right,[0..13][14..27],9,False,28,28,1,196,28x28
9480,2,2,bottom_left,[14..27][0..13],2,False,28,28,1,196,28x28
9480,2,2,bottom_right,[14..27][14..27],2,False,28,28,1,196,28x28
9480,2,2,top_left,[0..13][0..13],2,False,28,28,1,196,28x28
9480,2,2,top_right,[0..13][14..27],2,False,28,28,1,196,28x28
